key,registration-moment,passenger-email,description,type,c-is-accepted,key:registered-by,key:leg
claim-15,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,LUGGAGE_ISSUES,false,agent-01,leg-03
claim-16,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,SECURITY_INCIDENT,false,agent-01,leg-03
# description - extra
claim-17,2012/07/02 00:00,acme@lorem-ipsum.org,โลเร็ม อิปซัม,OTHER_ISSUES,false,agent-01,leg-03
claim-18,2012/07/02 00:00,acme@lorem-ipsum.org,لوريم إيبسوم,OTHER_ISSUES,false,agent-01,leg-03
claim-19,2012/07/02 00:00,acme@lorem-ipsum.org,<marquee>Hacked</marquee>,OTHER_ISSUES,false,agent-02,leg-03
claim-20,2012/07/02 00:00,acme@lorem-ipsum.org,"<script>alert(‘Hacked!’),</script>",OTHER_ISSUES,false,agent-02,leg-03
claim-21,2012/07/02 00:00,acme@lorem-ipsum.org,' or 'A' = 'A,OTHER_ISSUES,false,agent-02,leg-03
# extra genereted
claim-22,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,false,agent-02,leg-04
claim-23,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet: consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,false,agent-02,leg-04
claim-24,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,false,agent-02,leg-04
claim-25,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,true,agent-02,leg-04
claim-26,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,true,agent-02,leg-05
claim-27,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,true,agent-02,leg-05
claim-28,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,true,agent-02,leg-05
claim-29,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,false,agent-02,leg-05
claim-30,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,false,agent-02,leg-06
claim-31,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,false,agent-01,leg-06
claim-32,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,true,agent-01,leg-06
claim-33,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,true,agent-01,leg-06
claim-34,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,true,agent-01,leg-06
claim-35,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,true,agent-01,leg-07
claim-36,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,false,agent-01,leg-07
claim-37,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,false,agent-01,leg-07
claim-38,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,false,agent-01,leg-07
claim-39,2012/07/02 00:00,acme@lorem-ipsum.org,Lorem ipsum dolor sit amet; consectetur adipiscing elit. Sed do: eiusmod tempor incididunt ut labore et dolore magna aliqua! Ut*,OTHER_ISSUES,true,agent-01,leg-07
